Alloy_Name,Temp (°C),Strain,Stress_MPa,Specimen_Type
Al6061,20,-1.08E-05,0.598606346,Uniaxial tension
Al6061,20,-1.22E-05,0.606464221,Uniaxial tension
Al6061,20,-1.37E-05,0.612952659,Uniaxial tension
Al6061,20,-2.33E-05,0.61838324,Uniaxial tension
Al6061,20,-4.01E-05,0.731631619,Uniaxial tension
Al6061,20,-5.84E-05,1.496639713,Uniaxial tension
Al6061,20,-6.52E-05,3.133710081,Uniaxial tension
Al6061,20,-6.62E-05,5.872686577,Uniaxial tension
Al6061,20,-5.62E-05,9.842827725,Uniaxial tension
Al6061,20,-3.25E-05,15.10747287,Uniaxial tension
Al6061,20,2.04E-05,21.66441951,Uniaxial tension
Al6061,20,9.59E-05,29.46032966,Uniaxial tension
Al6061,20,0.000193432,37.96124074,Uniaxial tension
Al6061,20,0.000307512,46.97763851,Uniaxial tension
Al6061,20,0.000433851,56.27322015,Uniaxial tension
Al6061,20,0.00057529,65.71335762,Uniaxial tension
Al6061,20,0.00072477,75.19659717,Uniaxial tension
Al6061,20,0.000874964,84.71905191,Uniaxial tension
Al6061,20,0.001030912,94.24093797,Uniaxial tension
Al6061,20,0.001185113,103.720957,Uniaxial tension
Al6061,20,0.00134077,113.0621673,Uniaxial tension
Al6061,20,0.001497386,122.2523136,Uniaxial tension
Al6061,20,0.001652496,131.2968179,Uniaxial tension
Al6061,20,0.001806589,140.2224661,Uniaxial tension
Al6061,20,0.00196246,148.9739777,Uniaxial tension
Al6061,20,0.002115116,157.5431062,Uniaxial tension
Al6061,20,0.002271903,165.9497557,Uniaxial tension
Al6061,20,0.002427261,174.1781673,Uniaxial tension
Al6061,20,0.002580132,182.2675926,Uniaxial tension
Al6061,20,0.002729997,190.1969461,Uniaxial tension
Al6061,20,0.002882492,197.8237089,Uniaxial tension
Al6061,20,0.003034506,205.1845684,Uniaxial tension
Al6061,20,0.003190732,212.1848086,Uniaxial tension
Al6061,20,0.003348388,218.7959842,Uniaxial tension
Al6061,20,0.003514455,225.07608,Uniaxial tension
Al6061,20,0.003685869,230.9090006,Uniaxial tension
Al6061,20,0.003874299,236.2551299,Uniaxial tension
Al6061,20,0.004087002,241.1538458,Uniaxial tension
Al6061,20,0.004332186,245.5321954,Uniaxial tension
Al6061,20,0.00462668,249.4298707,Uniaxial tension
Al6061,20,0.004968248,252.8000095,Uniaxial tension
Al6061,20,0.005357969,255.4674444,Uniaxial tension
Al6061,20,0.005793959,257.5902402,Uniaxial tension
Al6061,20,0.006476248,259.496364,Uniaxial tension
Al6061,20,0.007198821,260.9254544,Uniaxial tension
Al6061,20,0.007953291,262.016238,Uniaxial tension
Al6061,20,0.008726944,262.8220976,Uniaxial tension
Al6061,20,0.009515919,263.4632986,Uniaxial tension
Al6061,20,0.010312618,264.1024894,Uniaxial tension
Al6061,20,0.011123198,264.6895546,Uniaxial tension
Al6061,20,0.011730388,264.9347035,Uniaxial tension
Al6061,20,0.01232722,265.1982273,Uniaxial tension
Al6061,20,0.012910943,265.5300578,Uniaxial tension
Al6061,20,0.013478297,265.8431897,Uniaxial tension
Al6061,20,0.014033052,266.1689276,Uniaxial tension
Al6061,20,0.014578661,266.4658637,Uniaxial tension
Al6061,20,0.015108248,266.7333706,Uniaxial tension
Al6061,20,0.01563445,267.0561684,Uniaxial tension
Al6061,20,0.016159743,267.4688086,Uniaxial tension
Al6061,20,0.016687215,267.8248576,Uniaxial tension
Al6061,20,0.017211685,268.1514339,Uniaxial tension
Al6061,20,0.017738236,268.4471381,Uniaxial tension
Al6061,20,0.018265165,268.820158,Uniaxial tension
Al6061,20,0.018797968,269.1749853,Uniaxial tension
Al6061,20,0.019327912,269.4706973,Uniaxial tension
Al6061,20,0.019858537,269.6956907,Uniaxial tension
Al6061,20,0.020387773,269.9559744,Uniaxial tension
Al6061,20,0.020917954,270.3042136,Uniaxial tension
Al6061,20,0.021456061,270.6016588,Uniaxial tension
Al6061,20,0.021990347,270.8299535,Uniaxial tension
Al6061,20,0.022517813,271.0995421,Uniaxial tension
Al6061,20,0.023048372,271.3671047,Uniaxial tension
Al6061,20,0.023574743,271.6751907,Uniaxial tension
Al6061,20,0.024099222,271.9387563,Uniaxial tension
Al6061,20,0.024624046,272.1490349,Uniaxial tension
Al6061,20,0.025137729,272.4203433,Uniaxial tension
Al6061,20,0.02565564,272.7640306,Uniaxial tension
Al6061,20,0.026168423,273.0876954,Uniaxial tension
Al6061,20,0.026679097,273.3804673,Uniaxial tension
Al6061,20,0.02718943,273.7006159,Uniaxial tension
Al6061,20,0.027697649,273.9699827,Uniaxial tension
Al6061,20,0.028202342,274.2636986,Uniaxial tension
Al6061,20,0.028709834,274.5208082,Uniaxial tension
Al6061,20,0.029215824,274.7482913,Uniaxial tension
Al6061,20,0.029729169,275.0091959,Uniaxial tension
